branch_id,branch_name,city,atm_count,safe_deposit_boxes,staff_count
BR0001,New Sueside Branch,New Sueside,4,229,28
BR0002,Elizabethchester Branch,Elizabethchester,4,41,38
BR0003,Morganchester Branch,Morganchester,2,334,26
BR0004,West Carolinestad Branch,West Carolinestad,1,91,38
BR0005,New Williamberg Branch,New Williamberg,4,270,12
BR0006,Walkerville Branch,Walkerville,6,114,4
BR0007,Meganstad Branch,Meganstad,1,152,33
BR0008,Port Joshuabury Branch,Port Joshuabury,6,368,38
BR0009,Bruceside Branch,Bruceside,4,272,28
BR0010,New Sarahview Branch,New Sarahview,2,126,33
BR0011,East Joshuaport Branch,East Joshuaport,3,79,21
BR0012,Michaelburgh Branch,Michaelburgh,2,371,11
BR0013,New Diane Branch,New Diane,1,338,30
BR0014,East Joycetown Branch,East Joycetown,5,392,5
BR0015,Lake Alyssafurt Branch,Lake Alyssafurt,2,105,8
BR0016,Chavezburgh Branch,Chavezburgh,1,304,6
BR0017,Larrymouth Branch,Larrymouth,4,306,7
BR0018,North Ericton Branch,North Ericton,2,379,6
BR0019,West Scottchester Branch,West Scottchester,4,224,18
BR0020,Lawsonchester Branch,Lawsonchester,5,111,7
BR0021,Jasonhaven Branch,Jasonhaven,2,257,22
BR0022,West Russellport Branch,West Russellport,2,374,40
BR0023,Roseport Branch,Roseport,3,295,24
BR0024,East Randallton Branch,East Randallton,2,154,13
BR0025,East Kevinborough Branch,East Kevinborough,6,266,18
BR0026,Port Jonathan Branch,Port Jonathan,4,153,21
BR0027,Davidfort Branch,Davidfort,1,285,15
BR0028,Thompsonfurt Branch,Thompsonfurt,6,347,31
BR0029,New Angelica Branch,New Angelica,5,253,7
BR0030,Charleston Branch,Charleston,3,329,28
BR0031,Smithland Branch,Smithland,5,163,30
